Bad-ID,Badtyp,Name,Straße,Postleitzahl,Ort,Ansprechpartner,Telefon,E-Mail-Adresse,Webseite,Gemeindekennzahl,Längengrad,Breitengrad,"Ganzjährig geöffnet","Beginn der Sommerzeit","Ende der Sommerzeit","Beginn der Winterzeit","Ende der Winterzeit",Baujahr,"Baukosten bei Fertigstellung","Währung der Baukosten","Baukosten heute (Euro)",Eigentümer,"Name des Eigentümers",Betreiber,"Name des Betreibers",Eigentümer-Risiko,Betreiber-Risiko,Besucher,"Eintritt Erwachsene","Ermäßigung Kind","Ermäßigung Familie","Ermäßigung Behinderte","Ermäßigung Senioren",Frühtarif,Abendtarif,Schulsport,"ÖPNV Strecke","ÖPNV <500m","PKW Parkplätze","Fahrrad Parkplätze","Behinderten Parkplätze",E-Ladestationen,"Gegenstrom Anlage",Schwimmwanderkanal,"10m Sprungturm","7,5m Sprungturm","5m Sprungturm","3m Sprungturm","3m Sprungbrett","1m Sprungbrett",Großrutsche,Kinderrutsche,"Separates Rutschbecken",Restaurant,Bistro,Essensautomat,"Bewirtung für Badegäste","Bewirtung öffentlich","Sportangebot an Land","Fläche Umkleide","Anzahl Sammelumkleiden","Anzahl Einzelumkleiden","Anzahl Spinde","Rollstuhl Stellplätze","Unterfahrbarer Waschtisch","Breite Liegen","Extra große Spinde","Barrierefreiheit Sonstiges","Kursraum ohne Geräte","Ausstattung Kursraum","Kursraum mit Geräten","Geräte Kursraum","Liegewiese Größe","Spielfläche Größe",einrichtung_spielflaeche,"Spielplatz Größe","Spielplatz Geräte","Beachfeld Größe",FKK-Fläche,"Installierte Fitnessgeräte","Sonstige Freiflächen","Sauna Fläche","Anzahl Saunen","Anzahl Solarien","Anzahl Massagen",Poollifter,"Barrierefreie Rutsche","Wasserabwesender Rollstuhl","Breite Gänge","Taktiles Leitsystem","Optische und akustische Anzeigen","Manuelles Kassensystem","Automatisches Kassensystem","Anlage dauerhaft geschlossen","Schließung Begründung","Anlage temporär geschlossen",Schließdatum,"Einschränkung Schwimmbetrieb","Einschränkungen Beschreibung","Einschränkung Funktion","Einschränkungen Funktion Beschreibung",WLAN,"Öffentliches Wlan",Mobilfunkstandard,"Badebetrieb neben Wettkampf","Energieeffiziente Maßnahmen","Zusätzliche Angebote","Nutzung durch Vereine","Nutzung durch Schulen","Nutzung durch Bürger","Nutzung durch Firmen","Nutzung durch VHS","Kommerzielle Nutzung","Sonstige Nutzer","Anteil Vereine","Anteil Schulen","Anteil Bürger","Anteil Firmen","Anteil VHS","Anteil Kommerzielle Nutzung","Anteil Sonstige Nutzer",Stundentarif,"Sonstige Tarife","Sonstige Sprungbretter",Startblöcke,"Anzahl Startblöcke",Kommentar,Öffnungsdatum,"Wettkampftauglichkeit Schwimmen","Wettkampftauglichkeit Wasserball","Wettkampftauglichkeit Springen","Wettkampftauglichkeit Rettungsschwimmen","Wettkampftauglichkeit Synchronschwimmen","Wettkampftauglichkeit Tauchen","Badpate vorhanden",Erweiterungen,Sanierungen,Förderungen
289,Hallenbad,"Wasser Straelen","Lingsforter Str. 100",47638,Straelen,,"02834 942460",info@wasserstraelen.de,www.wasserstraelen.de/index.php/Herzlich_Willkommen.html,05154052,6.25805,51.45254,nein,,,,,,,,,Sonstige,"Aqua Fit GmbH",Sonstige,"Aqua Fit GmbH",,,,5,ja,ja,ja,nein,nein,nein,nein,,,,,,,ja,ja,nein,nein,ja,ja,ja,ja,ja,ja,ja,nein,ja,ja,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,nein,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
290,Hallenbad,"Hallenbad Glashütter Weiher","Schafberg 1",52223,Stolberg,,"02402 91027",info@stolberg.de,,05334032,6.21961,50.77022,ja,,,,,,,,,"Gemeinde oder Stadt",Stolberg,"Gemeinde oder Stadt",Stolberg,,,,4,ja,ja,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,ja,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
291,Freibad,Wellarium,"Steinbeisstraße 37",71711,"Steinheim an der Murr",,"07144 / 24091",info@wellarium.de,www.wellarium.de/index.php?id=3,08118070,9.26751,48.9732,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Steinheim an der Murr","Gemeinde oder Stadt","Steinheim an der Murr",,,,4.8,ja,ja,ja,nein,nein,ja,nein,,,,,,,ja,ja,nein,nein,ja,ja,ja,ja,ja,ja,ja,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,nein,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
292,Freibad,"Waldbad Steinhagen","Waldbadstr. 39",33803,Steinhagen,,"05204 997263",baeder@gemeindewerke-steinhagen.de,,05754040,8.43454,52.01477,nein,Mai,September,,,,,,,"Gemeinde oder Stadt",Steinhagen,Stadtwerke,Steinhagen,,,,2,ja,nein,nein,nein,nein,nein,,,,,,,,nein,nein,,,,,,,nein,ja,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
293,Hallenbad,"Brüggener Hallenbad","Hochstraße 33",41379,Brüggen,,"02163 7444",Hallenbad@brueggen.de,www.brueggen.de/familie-leben/brueggener-hallenbad,05166004,6.1839,51.24485,,,,,,,,,,"Gemeinde oder Stadt","Stadt Brüggen","Gemeinde oder Stadt","Stadt Brüggen",,,,3,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,3,,,,,,,,,nein,,,
296,Kombibad,"KarlsBad Brühl","Kurfürstenstraße 40",50321,Brühl,,"02232 702270",karlsbad@stadtwerke-bruehl.de,www.karlsbad-bruehl.de,05362012,6.90477,50.83663,ja,,,,,,,,,Stadtwerke,"Stadtwerke Brühl GmbH",Stadtwerke,"Stadtwerke Brühl GmbH",,,,5.5,ja,nein,nein,nein,ja,ja,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,ja,ja,ja,nein,ja,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,11,,,,,,,,,nein,,,
297,Hallenbad,"Bündner Welle","Kloppenburgstraße 25",32257,Bünde,,"05223 61938",info@buender-baeder.de,www.buender-baeder.de,05758004,8.55589,52.20256,ja,,,,,,,,,Genossenschaften,"Bünder Bäder GmbH",Genossenschaften,"Bünder Bäder GmbH",,,,4,ja,nein,ja,nein,nein,ja,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,nein,,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,5,,,,,,,,,nein,,,
298,Freibad,"Freibad Bünde Mitte","Zum Freibad 12",32257,Bünde,,"05223 15693",info@buender-baeder.de,www.buender-baeder.de/kontakt/freibad-buende/,05758004,8.58541,52.20245,nein,,,,,,,,,Genossenschaften,"Bünder Bäder GmbH",Genossenschaften,"Bünder Bäder GmbH",,,,2,ja,nein,ja,nein,nein,ja,nein,,,,,,,nein,nein,ja,nein,ja,nein,ja,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,5,,,,,,,,,nein,,,
299,Freibad,"Freibad Burbach","Freibadweg 14",57299,"Burbach / Siegerland",,"02736 6122",info@freibad-in-burbach.de,www.freibad-in-burbach.de/,05970008,8.08094,50.74284,nein,Mai,September,,,,,,,Genossenschaften,"Lenne Therme GmbH Co KG",Genossenschaften,"Lenne Therme GmbH Co KG",,,,3.5,ja,ja,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,ja,ja,nein,nein,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,5,,,,,,,,,nein,,,
300,Freibad,"Städtisches Freibad Büren","Jühengrund 1a",33142,Büren,,"02951 5260",info@bueren.de,www.bueren.de/tourismus/aktiv/Baeder.php#a4,05774016,8.56507,51.55026,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Stadt Büren","Gemeinde oder Stadt","Stadt Büren",,,,3,ja,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,ja,,,,nein,ja,nein,,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,4,,,,,,,,,nein,,,
301,Freibad,"Städtisches Freibad Harth Weiberg (HaWei)","Kirchweg 18",33142,Büren,,"02958 340",info@bueren.de,www.bueren.de/tourismus/aktiv/Baeder.php#a4,05774016,8.58348,51.50931,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Stadt Büren","Gemeinde oder Stadt","Stadt Büren",,,,3,ja,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,,,nein,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,4,,,,,,,,,nein,,,
302,Freibad,"Waldbad Falkensee","Salzburgstraße 59",14612,Falkensee,"Frau Förster",,,www.falkensee.de/verzeichnis/objekt.php?mandat=65546,12063080,13.091955126075359,52.577183024942336,nein,Mai,September,,,2002,,,,"Gemeinde oder Stadt","Gesellschaft für Gebäudewirtschaft Falkensee mbH","Gemeinde oder Stadt","Gesellschaft für Gebäudewirtschaft Falkensee mbH",,,,4.5,ja,ja,ja,nein,nein,nein,nein,550,nein,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,nein,,,,ja,Beachvolleyballplklatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,ja,ja,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
303,Freibad,"Stadtbad Nauen","Karl-Thron-Straße 20",14614,Nauen,"Herr Bergmann",,,www.stadtbad-nauen.de/schwimmbad/,12063208,12.885330,52.604086,nein,April,September,,,1995,,,,"Gemeinde oder Stadt","Stadt Nauen",Zweckverband,"DLG mbH",,,,6,ja,ja,ja,nein,,nein,,1200,nein,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,
304,Hallenbad,"Schwimmhalle Rathenow","Bruno-Baum-Ring 106",14712,Rathenow,,,,www.rathenower-waermeversorgung.de/index.php/schwimmhalle-sauna,12063252,12.358207,52.605678,ja,,,,,2003,,,,"Gemeinde oder Stadt","Stadt Rathenow",Stadtwerke,"Rathenower Wärmeversorgung GmbH",,,,4.5,ja,nein,ja,nein,nein,nein,nein,260,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,ja,,ja,nein,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,
306,Freibad,"Freibad Bad Boll","Freibadweg 38",73087,"Bad Boll","Christian Gunzenhauser","07164 5294",,www.bad-boll.de/de/buerger/leben/freizeit/freibad.html,08117012,9.61709,48.63122,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Gemeinde Bad Boll",,,,,,3,ja,ja,ja,nein,nein,ja,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,,,,"Tischtennis, Basketball, Fußball, Beachvolleyball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"Zehner und Jahreskarte",,ja,,,,,,,,,,nein,,,
307,Freizeitbad,"Balinea Thermen","Badstraße 14",79415,"Bad Bellingen",,"07635 8080",,www.balinea.de,08336006,7.55257,47.72865,ja,,,,,,,,,,"Bade- und Kurverwaltung Bad Bellingen GmbH",,"Bade- und Kurverwaltung Bad Bellingen GmbH",,,,15,ja,ja,ja,nein,nein,ja,,,,,,,,nein,ja,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,nein,,,
308,Freizeitbad,"Adelindis Therme","Thermenweg 2",88422,"Bad Buchau","Guido Klaiber","07582 8001395",info@adelindistherme.de,adelindistherme.de,08426013,9.60738,48.06561,ja,,,,,,,,,Sonstige,"Thermalbad Buchau Betriebs-GmbH",,"Guido Klaiber",,,,15,nein,nein,ja,nein,nein,ja,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,6,1,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,"Adelindis Card",,nein,,,,,,,,,,nein,,,
309,Freibad,"Städtisches Freibad Bad Buchau","Friedhofstraße 17",88422,"Bad Buchau",,"07582 934620",,www.bad-buchau.de/index.php?id=44,08426013,9.61671,48.06297,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Stadtverwaltung Bad Buchau",,,,,,3.3,ja,ja,ja,ja,nein,nein,,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,ja,nein,nein,ja,,,,"Beachvolleyball, Minigolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
310,Freizeitbad,"Vinzenz Therme","Kurhausstraße 18",73342,"Bad Ditzenbach",,"07334 76-0",kontakt@vinzenz.de,www.vinzenztherme.de/home.html,08117006,9.70011,48.58777,ja,,,,,,,,,,"Vinzenz von Paul Kliniken gGmbH",,"Dipl.-Betriebswirt (BA) Markus Mord",,,,11,ja,ja,ja,nein,nein,ja,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"6er, 12er, 50er Karte",,nein,,,,,,,,,,nein,,,
311,Freizeitbad,"Wellness- und Gesundheitszentrum Solemar","Huberstraße 8",78073,"Bad Dürrheim","Markus Spettel","07726 666-292",info@solemar.de,badduerrheim.de/solemar/willkommen/,08326003,8.5344,48.01599,ja,,,,,,,,,,"Kur- und Bäder GmbH Bad Dürrheim",,"Markus Spettel",,,,13.9,ja,ja,ja,nein,nein,ja,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,7,,,,,,,,,,,nein,,nein,,,,,,,,,,,Garten-Schach,ja,ja,ja,ja,,,,,,,,,,,ja,"11er Karte",,nein,,,,,,,,,,nein,,,
312,Freizeitbad,"Siebentäler Therme -Mineraltherme-","Schweizer Wiese 9",76332,"Bad Herrenalb",,"07083 9259-0",siebentaelertherme@stw-badherrenalb.de,www.siebentaelertherme.de,08235033,8.44143,48.80436,ja,,,,,,,,,Stadtwerke,"Stadtwerke Bad Herrenalb GmbH",,"Karina Herrmann",,,,10.5,ja,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,nein,,,,,,,,,,nein,,,
313,Freibad,"Waldfreibad Bad Herrenalb","Schwimmbadstraße 34",76332,"Bad Herrenalb",,"07083 2480",,www.stw-badherrenalb.de/freibad.php,08235033,8.42664,48.79235,nein,Mai,September,,,1930,,,,Stadtwerke,"Stadtwerke Bad Herrenalb GmbH",Stadtwerke,"Stadtwerke Bad Herrenalb GmbH",,,,3.7,ja,ja,ja,nein,ja,ja,nein,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,ja,nein,nein,nein,ja,,,,Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,ja,,,,,,,,,,,nein,"10er Karte, Jahreskarte",,ja,,,,,,,,,,ja,,,
314,Freizeitbad,"Vita Classica Therme","Herbert-Hellmann-Allee 12",79189,"Bad Krozingen","Rolf Rubsamen","0049 (0) 7633/40 08-120",mail@bad-krozingen.info,www.bad-krozingen.info,08315006,7.69178,47.91901,ja,,,,,,,,,,"Kur und Bäder GmbH Bad Krozingen",,"Rolf Rubsamen",,,,16,ja,ja,ja,nein,nein,ja,,,,,,,,ja,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"10er und 20er Karte",,nein,,,,,,,,,,nein,,,
315,Kombibad,"aquarado Freizeitbad","Schwimmbad Str. 20",79189,"Bad Krozingen",,"07633 4008510",mail@bad-krozingen.info,www.bad-krozingen.info/aquarado-Freizeitbad,08315006,7.69671,47.90916,ja,,,,,,,,,"Gemeinde oder Stadt","Stadt Bad Krozingen",,"Stadt Bad Krozingen",,,,4.8,ja,ja,ja,nein,nein,ja,,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,ja,ja,ja,nein,ja,ja,ja,ja,"Mini-Fußball, Beachvolleyball, Tischtennis",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"10er und 20er Karten sowie Saisonkarten",,ja,,,,,,,,,,nein,,,
316,Freibad,"Freibad Bad Liebenzell","Pforzheimer Str. 40",75378,"Bad Liebenzell",,"07052 932888",freibad@bad-liebenzell.de,www.tourismus-bad-liebenzell.de/aktivitaeten/freibad/,08235008,8.731,48.77965,nein,Mai,September,,,,,,,,"Freizeit und Tourismus Bad Liebenzell GmbH",,"Johannes Schweizer und Kerstin Weiss",,,,4,ja,ja,ja,nein,nein,ja,,,,,,,,nein,ja,nein,nein,nein,nein,nein,nein,ja,ja,nein,nein,ja,,,ja,"Beachvolleyball, Fußball, Handball, Indiaca, Federball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"10er Karte und Saisonkarte",,ja,,,,,,,,,,nein,,,
317,Freizeitbad,Paracelsus-Therme,"Reuchlinweg 4",75378,"Bad Liebenzell",,"07052 408608",paracelsustherme@bad-liebenzell.de,www.paracelsus-therme.de,08235008,8.734210,48.77123,ja,,,,,,,,,,"Freizeit und Tourismus Bad Liebenzell GmbH",,,,,,13,ja,nein,ja,nein,nein,nein,,,,,,,,nein,ja,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,nein,,,,,,,,,,nein,,,
318,Freibad,"Freibad Peterstal","Schwimmbadstraße 10",77740,"Bad Peterstal-Griesbach",,"0049 78061230",,gemeinde.bad-peterstal-griesbach.de/gemeindeleben/badeeinrichtungen/beheiztes-freibad-peterstal-id_395/,08317008,8.21134,48.42504,nein,Mai,September,,,,,,,,"Gemeinde Bad Peterstal-Griesbach",,"Gemeinde Bad Peterstal-Griesbach",,,,3,ja,ja,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,ja,nein,ja,nein,nein,nein,nein,,,,,"Tischtennis, Beachvolleyball, Minigolf, Kicker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
319,Freizeitbad,RappSoDie,"Salinenstraße 37",74906,"Bad Rappenau",,"07264 2069330",info@rappsodie.info,www.rappsodie.info,08125006,9.11088,49.23842,ja,,,,,,,,,,"RappSoDie Bad Rappenau Solebad GmbH und Co. KG",,,,,,13,ja,ja,ja,ja,ja,ja,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,Geldwertkarten,,nein,,,,,,,,,,nein,,,
320,Freibad,"Waldfreibad Wolftal","Schwimmbadstraße 4",77776,"Bad Rippoldsau-Schapbach",,"07839 7484007",,www.waldfreibad-wolftal.de/Startseite/,08237075,8.28779,48.37587,nein,Juni,,,,,,,,Verein,,,,,,,2.5,ja,ja,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,nein,nein,ja,nein,ja,nein,nein,ja,,,ja,"Minigolf, Garten-Schach, Beachvolleyball, Tischtennis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,nein,"10er Karte und Jahreskarte",,nein,,,,,,,,,,nein,,,
321,Freizeitbad,"Sonnenhof-Therme Bad Saulgau","Am Schönen Moos 1",88348,"Bad Saulgau","Kurt Rimmele","07581 4839 0",info@sonnenhof-therme.de,www.bad-saulgau.de/sonnenhof/index.php,08437100,9.48752,48.01631,ja,Mai,September,September,Mai,,,,,"Gemeinde oder Stadt","Sonnenhof-Therme Bad Saulgau GmbH",Privat,"Kurt Rimmele",,,,15.2,ja,nein,ja,nein,nein,ja,,40,ja,197,40,5,2,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,ja,ja,ja,,400,,54,546,ja,ja,ja,ja,,ja,,ja,,2200,,,,,,,,,1601,4,2,6,ja,nein,ja,ja,nein,nein,ja,ja,nein,,nein,,,,,,ja,ja,,,"Blokheizkraftwerk Solaranlage",,nein,nein,nein,ja,nein,ja,,,,,,,,,ja,"10er Karte",,nein,,,,,,,,,,nein,,,
323,Freizeitbad,Thermarium,"Kraichgaustraße 14",76669,"Bad Schönborn",,"07253 80270",info@thermarium.de,www.thermarium.de/willkommen/,08215100,8.66824,49.21808,ja,,,,,,,,,,"Thermarium Verwaltungsgesellschaft mbH",,"Markus Hoppe",,,,13.5,ja,ja,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,ja,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,"11er Karte",,nein,,,,,,,,,,nein,,,
324,Freizeitbad,"Mineral Therme Bad Teinach","Otto-Neidhart-Allee 5",75385,"Bad Teinach",,"07053 290",info@therme-bad-teinach.de,www.therme-bad-teinach.de,08235084,8.68623,48.68868,ja,,,,,,,,,,,,"htt HotelThermeTeinach GmbH & Co. KG",,,,15,ja,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,,,ja,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,nein,,nein,,,,,,,,,,,,nein,nein,,,,,,,,,,,,,nein,,,nein,,,,,,,,,,nein,,,
325,Hallenbad,"Hallenbad Beckingen",Hindenburgstraße,66701,Beckingen,"Andreas Schikofsky",,,www.beckingen.de/tourismus-und-kultur/sportanlage-hallenbad/,10042111,6.70404,49.38749,ja,,,,,,,,,"Gemeinde oder Stadt","Gemeinde Beckingen","Gemeinde oder Stadt","Gemeinde Beckingen",,,,2,ja,,,,,,,1500,nein,,,,,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,,ja,,,,,,,,,,,,,Zwölferkarte,,ja,3,,,,,,,,,nein,,,
326,Hallenbad,"Hallenbad Steinhagen","Am Cronsbach 2-4",33803,Steinhagen,,"05204 997-457",baeder@gs-werke.de,www.gs-werke.de/baeder,05754040,8.42241,52.00084,ja,,,,,,,,,"Gemeinde oder Stadt",Steinhagen,Stadtwerke,Stadthagen,,,70000,3,ja,nein,nein,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,nein,nein,nein,ja,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
327,Kombibad,"Kombibad Borghorst","Gräfin-Bertha-Straße 13",48565,Steinfurt,,"02552 2115",info@baeder-steinfurt.de,www.swst.de/baeder/kombibad-borghorst/,05566084,7.40522,52.12136,ja,,,,,,,,,"Gemeinde oder Stadt",Steinfurt,Stadtwerke,Steinfurt,,,,3.5,ja,ja,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,ja,ja,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,ja,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
328,Freibad,BagnoMare,"Tecklenburger Straße 48 a",48565,Steinfurt,,"02551 2411",info@baeder-steinfurt.de,www.swst.de/baeder/bagnomare,05566084,7.34995,52.15131,nein,Mai,September,,,,,,,"Gemeinde oder Stadt",Steinfurt,Stadtwerke,Steinfurt,,,,3.5,ja,ja,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,ja,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
329,Kombibad,"Frei- und Hallenbad Stadtlohn","Uferstraße 31",48703,Stadtlohn,,,,www.stadtlohn.de/leben-in-stadtlohn/freizeit-und-sport/baeder.html,05554056,6.924910,51.99663,ja,Juni,September,September,Juni,,,,,"Gemeinde oder Stadt",Stadtlohn,Stadtwerke,Stadtlohn,,,,3,nein,nein,ja,nein,nein,nein,nein,,,,,,,nein,nein,nein,nein,ja,ja,ja,ja,nein,ja,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,ja,,ja,,,,,,,,,,,,nein,,,ja,,,,,,,,,,nein,,,
